#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
1.0,0.0,5.75,1.82,0.343,-0.172,7.5,0.1116,0.00492,0.04409,0.68309,1.09312
1.0,1.0,5.75,1.82,0.343,-0.172,22.5,0.1176,0.00468,0.0398,0.68309,1.09312
1.0,2.0,5.75,1.82,0.343,-0.172,37.5,0.0998,0.0042,0.04208,0.68309,1.09312
1.0,3.0,5.75,1.82,0.343,-0.172,52.5,0.0941,0.00396,0.04208,0.68309,1.09312
1.0,4.0,5.75,1.82,0.343,-0.172,67.5,0.0882,0.0036,0.04082,0.68309,1.09312
1.0,5.0,5.75,1.82,0.343,-0.172,82.5,0.0787,0.00336,0.04269,0.68309,1.09312
1.0,6.0,5.75,1.82,0.343,-0.172,97.5,0.0672,0.00312,0.04643,0.68309,1.09312
1.0,7.0,5.75,1.82,0.343,-0.172,112.5,0.0608,0.00288,0.04737,0.68309,1.09312
1.0,8.0,5.75,1.82,0.343,-0.172,127.5,0.0575,0.00276,0.048,0.68309,1.09312
1.0,9.0,5.75,1.82,0.343,-0.172,142.5,0.0501,0.00252,0.0503,0.68309,1.09312
1.0,10.0,5.75,1.82,0.343,-0.172,157.5,0.0499,0.00252,0.0505,0.68309,1.09312
1.0,11.0,5.75,1.82,0.343,-0.172,172.5,0.0481,0.0024,0.0499,0.68309,1.09312
1.0,12.0,5.75,1.82,0.343,-0.172,187.5,0.0483,0.0024,0.04969,0.68309,1.09312
1.0,13.0,5.75,1.82,0.343,-0.172,202.5,0.0532,0.00252,0.04737,0.68309,1.09312
1.0,14.0,5.75,1.82,0.343,-0.172,217.5,0.0527,0.00264,0.05009,0.68309,1.09312
1.0,15.0,5.75,1.82,0.343,-0.172,232.5,0.0552,0.00264,0.04783,0.68309,1.09312
1.0,16.0,5.75,1.82,0.343,-0.172,247.5,0.0585,0.00276,0.04718,0.68309,1.09312
1.0,17.0,5.75,1.82,0.343,-0.172,262.5,0.0631,0.00288,0.04564,0.68309,1.09312
1.0,18.0,5.75,1.82,0.343,-0.172,277.5,0.0742,0.00324,0.04367,0.68309,1.09312
1.0,19.0,5.75,1.82,0.343,-0.172,292.5,0.0818,0.00348,0.04254,0.68309,1.09312
1.0,20.0,5.75,1.82,0.343,-0.172,307.5,0.0967,0.00384,0.03971,0.68309,1.09312
1.0,21.0,5.75,1.82,0.343,-0.172,322.5,0.1056,0.0042,0.03977,0.68309,1.09312
1.0,22.0,5.75,1.82,0.343,-0.172,337.5,0.1086,0.00456,0.04199,0.68309,1.09312
1.0,23.0,5.75,1.82,0.343,-0.172,352.5,0.1136,0.0048,0.04225,0.68309,1.09312
2.0,0.0,5.75,1.933,0.368,-0.232,7.5,0.0769,0.00504,0.06554,0.61351,0.94474
2.0,1.0,5.75,1.933,0.368,-0.232,22.5,0.0686,0.00444,0.06472,0.61351,0.94474
2.0,2.0,5.75,1.933,0.368,-0.232,37.5,0.0617,0.00384,0.06224,0.61351,0.94474
2.0,3.0,5.75,1.933,0.368,-0.232,52.5,0.0669,0.0036,0.05381,0.61351,0.94474
2.0,4.0,5.75,1.933,0.368,-0.232,67.5,0.0555,0.00324,0.05838,0.61351,0.94474
2.0,5.0,5.75,1.933,0.368,-0.232,82.5,0.0461,0.00288,0.06247,0.61351,0.94474
2.0,6.0,5.75,1.933,0.368,-0.232,97.5,0.0401,0.00252,0.06284,0.61351,0.94474
2.0,7.0,5.75,1.933,0.368,-0.232,112.5,0.0377,0.0024,0.06366,0.61351,0.94474
2.0,8.0,5.75,1.933,0.368,-0.232,127.5,0.034,0.00216,0.06353,0.61351,0.94474
2.0,9.0,5.75,1.933,0.368,-0.232,142.5,0.0339,0.00204,0.06018,0.61351,0.94474
2.0,10.0,5.75,1.933,0.368,-0.232,157.5,0.0346,0.00204,0.05896,0.61351,0.94474
2.0,11.0,5.75,1.933,0.368,-0.232,172.5,0.0307,0.00192,0.06254,0.61351,0.94474
2.0,12.0,5.75,1.933,0.368,-0.232,187.5,0.0315,0.00192,0.06095,0.61351,0.94474
2.0,13.0,5.75,1.933,0.368,-0.232,202.5,0.0357,0.00204,0.05714,0.61351,0.94474
2.0,14.0,5.75,1.933,0.368,-0.232,217.5,0.0333,0.00204,0.06126,0.61351,0.94474
2.0,15.0,5.75,1.933,0.368,-0.232,232.5,0.0337,0.00216,0.06409,0.61351,0.94474
2.0,16.0,5.75,1.933,0.368,-0.232,247.5,0.0377,0.0024,0.06366,0.61351,0.94474
2.0,17.0,5.75,1.933,0.368,-0.232,262.5,0.0404,0.00252,0.06238,0.61351,0.94474
2.0,18.0,5.75,1.933,0.368,-0.232,277.5,0.0429,0.00276,0.06434,0.61351,0.94474
2.0,19.0,5.75,1.933,0.368,-0.232,292.5,0.0528,0.00312,0.05909,0.61351,0.94474
2.0,20.0,5.75,1.933,0.368,-0.232,307.5,0.0593,0.00336,0.05666,0.61351,0.94474
2.0,21.0,5.75,1.933,0.368,-0.232,322.5,0.062,0.00384,0.06194,0.61351,0.94474
2.0,22.0,5.75,1.933,0.368,-0.232,337.5,0.0733,0.00456,0.06221,0.61351,0.94474
2.0,23.0,5.75,1.933,0.368,-0.232,352.5,0.0768,0.00504,0.06562,0.61351,0.94474
3.0,0.0,5.75,1.964,0.375,-0.278,7.5,0.0752,0.00672,0.08936,0.56833,0.85069
3.0,1.0,5.75,1.964,0.375,-0.278,22.5,0.0597,0.0054,0.09045,0.56833,0.85069
3.0,2.0,5.75,1.964,0.375,-0.278,37.5,0.0579,0.00456,0.07876,0.56833,0.85069
3.0,3.0,5.75,1.964,0.375,-0.278,52.5,0.0504,0.00384,0.07619,0.56833,0.85069
3.0,4.0,5.75,1.964,0.375,-0.278,67.5,0.04,0.00336,0.084,0.56833,0.85069
3.0,5.0,5.75,1.964,0.375,-0.278,82.5,0.0361,0.003,0.0831,0.56833,0.85069
3.0,6.0,5.75,1.964,0.375,-0.278,97.5,0.0352,0.00264,0.075,0.56833,0.85069
3.0,7.0,5.75,1.964,0.375,-0.278,112.5,0.033,0.00252,0.07636,0.56833,0.85069
3.0,8.0,5.75,1.964,0.375,-0.278,127.5,0.0293,0.00216,0.07372,0.56833,0.85069
3.0,9.0,5.75,1.964,0.375,-0.278,142.5,0.028,0.00204,0.07286,0.56833,0.85069
